COD_DANE,NOMBRE_MPI,year,temp_media_c,prec_anual_mm
70820,SANTIAGO DE TOLÚ,2021,27.227390181616613,1140.1443471749262
70820,SANTIAGO DE TOLÚ,2022,26.838882730089892,1543.9327047304746
70823,SAN JOSÉ DE TOLUVIEJO,2001,26.790467062960886,1142.2167938507441
70823,SAN JOSÉ DE TOLUVIEJO,2002,27.397963688882555,1090.9077422025814
70823,SAN JOSÉ DE TOLUVIEJO,2003,27.29710446475599,1275.8848475090185
70823,SAN JOSÉ DE TOLUVIEJO,2004,27.355766450689146,1069.4670124250642
70823,SAN JOSÉ DE TOLUVIEJO,2005,27.372244571300087,1278.7922849342294
70823,SAN JOSÉ DE TOLUVIEJO,2006,27.202577809537445,1189.8820767928148
70823,SAN JOSÉ DE TOLUVIEJO,2007,27.16068334686622,1324.7008196063643
70823,SAN JOSÉ DE TOLUVIEJO,2008,26.844306242867845,1279.2160624921232
70823,SAN JOSÉ DE TOLUVIEJO,2009,27.543473558747394,1077.7643707345649
70823,SAN JOSÉ DE TOLUVIEJO,2010,27.49221740036876,1680.7863685743225
70823,SAN JOSÉ DE TOLUVIEJO,2011,27.00309023053461,1482.0893434539898
70823,SAN JOSÉ DE TOLUVIEJO,2012,27.52116006572595,1134.6176726930767
70823,SAN JOSÉ DE TOLUVIEJO,2013,27.553789185941923,1252.365151178047
70823,SAN JOSÉ DE TOLUVIEJO,2014,27.738498370567072,983.3921011959297
70823,SAN JOSÉ DE TOLUVIEJO,2015,28.24961294109903,878.3179369562097
70823,SAN JOSÉ DE TOLUVIEJO,2016,27.960593645760184,1069.194137160397
70823,SAN JOSÉ DE TOLUVIEJO,2017,27.752135613259327,1165.8351132391838
70823,SAN JOSÉ DE TOLUVIEJO,2018,27.563434112205982,1026.5360281553994
70823,SAN JOSÉ DE TOLUVIEJO,2019,27.879223152760687,895.6412928584313
70823,SAN JOSÉ DE TOLUVIEJO,2020,28.210043986459823,1049.456080332118
70823,SAN JOSÉ DE TOLUVIEJO,2021,27.01159960973831,1104.1067689999732
70823,SAN JOSÉ DE TOLUVIEJO,2022,26.573111278943884,1444.9315649169303
73055,ARMERO,2001,21.129533859779087,1683.3338547613434
73055,ARMERO,2002,21.40425415039067,1828.2110838461454
73055,ARMERO,2003,21.32817466998921,2006.6618151616058
73055,ARMERO,2004,21.061259302599694,1848.4936750934983
73055,ARMERO,2005,21.372045898437534,2157.5410795769776
73055,ARMERO,2006,21.215194386449355,1955.1613326493148
73055,ARMERO,2007,21.218499334927287,2174.7104519594536
73055,ARMERO,2008,20.73941229458518,2354.6689922132045
73055,ARMERO,2009,21.62104008115574,1919.1386268684787
