Project ID,Project Name,Project Stage,Project URL,Project proponent,Project developer,Is Migrated,Protocol,Sector,Methodology,Mitigation type,Duration start,Duration end,Start date first crediting period,Crediting periord start,Crediting period end,n_filas_registro,n_matches,cod_dane,municipio
CDC-215,Proyecto Palmas del Cesar S.A,Verification,https://www.ecoregistry.io/projects/215,PALMAS DEL CESAR S.A,MGM Innova Consulting SAS,No,PROTOCOL CVCC 4.4,Energy industries; Waste handling and disposal,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, AMS-III.F: Avoidance of methane emissions through composting, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid",Avoidance,2023-05-09,2053-05-08,2023-05-09,2023-05-09,2033-05-08,2,0,,
CDC-151,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,Certified,https://www.ecoregistry.io/projects/151,Enel Colombia S.A. E.S.P.,Enel Colombia S.A. E.S.P.,No,PROTOCOL CVCC 4.1,Energy industries,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy,Avoidance,2018-12-04,2048-12-03,2018-12-04,2018-12-04,2028-12-03,2,1,20250,EL PASO
CDC-115,PARQUE EÓLICO WESP 01,Certified,https://www.ecoregistry.io/projects/115,ISAGEN S.A. ESP,ISAGEN S.A. ESP,No,PROTOCOL CVCC 4.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2023-05-31,2048-05-30,2023-05-31,2023-05-31,2048-05-30,1,0,,
CDC-59,CARBONO RINCCO,Certified,https://www.ecoregistry.io/projects/59,Rincco S.A.S,Forestry Consulting Group S.A.S.,Yes,PROTOCOL CVCC V2.1,Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2008-05-01,2035-04-30,2008-05-01,2008-05-01,2035-04-30,2,0,,
CDC-210,Proyecto de Generación de Energía Solar Fotovoltaica La Loma ,Certified,https://www.ecoregistry.io/projects/210,Enel Colombia S.A. E.S.P.,ATMOSPHERE ALTERNATIVE SAS ,No,PROTOCOL CVCC 4.4,Energy industries,M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation.,Does not apply,2023-02-05,2033-02-04,2023-02-05,2023-02-05,2033-02-04,1,1,20250,EL PASO
CDC-194,PCH NARE,Verification,https://www.ecoregistry.io/projects/194,GENERADORA NARE S.A.S E.S.P,MGM Innova Consulting SAS,No,PROTOCOL CVCC 4.4,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2027-02-01,2077-01-31,2027-02-01,2027-02-01,2037-01-31,2,2,05021;05690,ALEJANDRIA;SANTO DOMINGO
CDC-52,Makaro Ap+ro,Certified,https://www.ecoregistry.io/projects/52,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2018-01-01,2047-12-31,2018-01-01,2018-01-01,2047-12-31,1,0,,
CDC-213,Agua Fresca Multipurpose and Environmental Services Project,Certified,https://www.ecoregistry.io/projects/213,Energía del Río Piedras S.A E.S.P,MGM Innova Consulting SAS,Yes,PROTOCOL CVCC 4.4,Energy industries,CDM - AMS-I.D.: Grid connected renewable electricity generation,Avoidance,2007-01-01,2057-12-01,2020-01-01,2020-01-01,2026-12-31,1,3,05368;15368;73547,JERICO;PIEDRAS
CDC-166,Proyecto Agrupado Bio D S.A,Certified,https://www.ecoregistry.io/projects/166,BIO D S.A.,BIO D S.A.,No,PROTOCOL CVCC 4.2,Energy industries; Waste handling and disposal,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid, AMS-I.C.: Thermal energy production with or without electricity, CDM - AMS-I.D.: Grid connected renewable electricity generation, AMS-III.F: Avoidance of methane emissions through composting",Avoidance,,,2017-05-25,2017-05-25,2027-05-24,2,0,,
CDC-61,COCOMAN FRONTERA REDD+,Certified,https://www.ecoregistry.io/projects/61,BIOFIX CONSULTORIA S.A.S BIC,BIOFIX CONSULTORIA S.A.S BIC,No,"PROTOCOL CVCC V2.1, PROTOCOL CVCC 4.4",Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2016-01-01,2045-12-31,2016-01-01,2016-01-01,2045-12-31,2,2,27372;27491,JURADO;NOVITA
