COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
08433,MALAMBO,ATLÁNTICO,1076.855747853387,793.6218335331439,335.44986942701115,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,1076.855747853387,,2026-09-20T17:41:03
08436,MANATÍ,ATLÁNTICO,2137.868459042704,1514.5999239553637,632.1469368974975,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,2137.868459042704,,2026-09-20T17:41:03
08520,PALMAR DE VARELA,ATLÁNTICO,630.175143826715,403.9614447941336,98.66622010076767,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,630.175143826715,,2026-09-20T17:41:03
08549,PIOJÓ,ATLÁNTICO,9249.111427797348,7803.15935013141,4942.319849515278,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,9249.111427797348,,2026-09-20T17:41:03
08558,POLONUEVO,ATLÁNTICO,336.51002897817546,206.84134460394168,55.2897339988081,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,336.51002897817546,,2026-09-20T17:41:03
08560,PONEDERA,ATLÁNTICO,894.0705469018308,564.0161930721508,227.56895568019485,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,894.0705469018308,,2026-09-20T17:41:03
08573,PUERTO COLOMBIA,ATLÁNTICO,1919.789266897674,1434.925379223721,672.4109270561441,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,1919.789266897674,,2026-09-20T17:41:03
08606,REPELÓN,ATLÁNTICO,9897.562051519097,8660.476689387395,5750.744618633236,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,9897.562051519097,,2026-09-20T17:41:03
08634,SABANAGRANDE,ATLÁNTICO,174.5473416837567,133.6080669652843,94.39627045943934,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,174.5473416837567,,2026-09-20T17:41:03
08638,SABANALARGA,ATLÁNTICO,4854.168290075294,3414.88994309656,1189.5384344026927,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,4854.168290075294,,2026-09-20T17:41:03
