COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest,pixeles_totales
15162,CERINZA,BOYACÁ,2248.38,71483
15172,CHINAVITA,BOYACÁ,8020.98,153150
15176,CHIQUINQUIRÁ,BOYACÁ,8317.08,185422
15180,CHISCAS,BOYACÁ,26454.239999999998,741248
15183,CHITA,BOYACÁ,39005.82,761297
15185,CHITARAQUE,BOYACÁ,12727.71,178249
15187,CHIVATÁ,BOYACÁ,93.6,55649
15189,CIÉNEGA,BOYACÁ,1988.6399999999999,60649
15204,CÓMBITA,BOYACÁ,2511.99,155414
15212,COPER,BOYACÁ,13599.09,168380
15215,CORRALES,BOYACÁ,2515.14,68379
15218,COVARACHÍA,BOYACÁ,2815.38,115234
15223,CUBARÁ,BOYACÁ,104734.89,1301435
15224,CUCAITA,BOYACÁ,364.14,47341
15226,CUÍTIVA,BOYACÁ,817.74,49574
15232,CHÍQUIZA,BOYACÁ,2985.39,130932
15236,CHIVOR,BOYACÁ,8217.0,121973
15238,DUITAMA,BOYACÁ,10258.47,263058
15244,EL COCUY,BOYACÁ,6812.639999999999,267973
15248,EL ESPINO,BOYACÁ,4693.05,78070
15272,FIRAVITOBA,BOYACÁ,1179.09,122850
15276,FLORESTA,BOYACÁ,3349.17,99052
15293,GACHANTIVÁ,BOYACÁ,3941.64,99093
15296,GÁMEZA,BOYACÁ,3605.85,138944
15299,GARAGOA,BOYACÁ,11868.21,217286
15317,GUACAMAYAS,BOYACÁ,3616.83,64841
15322,GUATEQUE,BOYACÁ,1097.9099999999999,40548
15325,GUAYATÁ,BOYACÁ,7268.759999999999,112203
15332,GÜICÁN DE LA SIERRA,BOYACÁ,28830.149999999998,1070904
15362,IZA,BOYACÁ,590.76,38467
15367,JENESANO,BOYACÁ,679.3199999999999,66277
15368,JERICÓ,BOYACÁ,3230.8199999999997,148016
15377,LABRANZAGRANDE,BOYACÁ,45761.759999999995,652754
15380,LA CAPILLA,BOYACÁ,1981.8899999999999,63926
15401,LA VICTORIA,BOYACÁ,2508.39,31476
15403,LA UVITA,BOYACÁ,7228.44,181652
15407,VILLA DE LEYVA,BOYACÁ,4259.61,142267
15425,MACANAL,BOYACÁ,12806.189999999999,224458
15442,MARIPÍ,BOYACÁ,13973.22,180589
15455,MIRAFLORES,BOYACÁ,17261.55,290463
15464,MONGUA,BOYACÁ,22560.93,405330
15466,MONGUÍ,BOYACÁ,1820.4299999999998,77323
15469,MONIQUIRÁ,BOYACÁ,18648.0,245321
15476,MOTAVITA,BOYACÁ,435.78,67456
15480,MUZO,BOYACÁ,12188.25,154906
15491,NOBSA,BOYACÁ,2636.19,62361
15494,NUEVO COLÓN,BOYACÁ,1108.62,57730
15500,OICATÁ,BOYACÁ,342.9,67749
15507,OTANCHE,BOYACÁ,45052.74,533978
15511,PACHAVITA,BOYACÁ,1877.22,74875
15514,PÁEZ,BOYACÁ,26928.09,380613
15516,PAIPA,BOYACÁ,14437.619999999999,342941
15518,PAJARITO,BOYACÁ,27099.989999999998,352198
15522,PANQUEBA,BOYACÁ,2214.54,44660
15531,PAUNA,BOYACÁ,22420.98,283928
15533,PAYA,BOYACÁ,33381.72,498326
15537,PAZ DE RÍO,BOYACÁ,5579.46,137932
15542,PESCA,BOYACÁ,9063.539999999999,295542
15550,PISBA,BOYACÁ,41588.01,522236
15572,PUERTO BOYACÁ,BOYACÁ,76921.47,1701970
15580,QUÍPAMA,BOYACÁ,15076.439999999999,187997
15599,RAMIRIQUÍ,BOYACÁ,5669.37,141146
15600,RÁQUIRA,BOYACÁ,9486.0,247929
15621,RONDÓN,BOYACÁ,13629.869999999999,231790
15632,SABOYÁ,BOYACÁ,10093.949999999999,279501
15638,SÁCHICA,BOYACÁ,206.82,71830
15646,SAMACÁ,BOYACÁ,4936.139999999999,188277
15660,SAN EDUARDO,BOYACÁ,8119.44,122920
15664,SAN JOSÉ DE PARE,BOYACÁ,6629.4,83673
15667,SAN LUIS DE GACENO,BOYACÁ,26552.879999999997,527247
15673,SAN MATEO,BOYACÁ,9435.69,139344
15676,SAN MIGUEL DE SEMA,BOYACÁ,6262.65,105627
15681,SAN PABLO DE BORBUR,BOYACÁ,17577.09,220211
15686,SANTANA,BOYACÁ,6330.96,76436
15690,SANTA MARÍA,BOYACÁ,24246.27,347495
15693,SANTA ROSA DE VITERBO,BOYACÁ,4252.41,131188
15696,SANTA SOFÍA,BOYACÁ,2467.44,87208
15720,SATIVANORTE,BOYACÁ,4857.48,181466
15723,SATIVASUR,BOYACÁ,1512.6299999999999,61525
15740,SIACHOQUE,BOYACÁ,1142.37,133914
15753,SOATÁ,BOYACÁ,4410.72,138417
15755,SOCOTÁ,BOYACÁ,37016.1,678331
15757,SOCHA,BOYACÁ,6094.26,168818
15759,SOGAMOSO,BOYACÁ,4429.71,233360
15761,SOMONDOCO,BOYACÁ,3993.5699999999997,66012
15762,SORA,BOYACÁ,232.64999999999998,53763
15763,SOTAQUIRÁ,BOYACÁ,16253.91,328310
15764,SORACÁ,BOYACÁ,222.92999999999998,62648
15774,SUSACÓN,BOYACÁ,6661.71,205448
