category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,protocol_unassigned,registry,retired,status,vintage_start,vintage_end,credit_rows,startDate,endDate,fuente
renewable-energy,Colombia,2022-04-07 00:00:00+00:00,2022-04-07 00:00:00+00:00,False,22334.0,,Suba and Usaquen Hydroelectric Umbrella Project,VCS2060,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/2060,Empresa de Acueducto y Alcantarillado de Bogota E.S.P,['ams-i-d'],,verra,9519.0,registered,2014.0,2021.0,12.0,2014.0,2021.0,carbonplan_offsetsdb
renewable-energy,Colombia,,,False,0.0,,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,VCS1936,Wind,berkeley,https://registry.verra.org/app/projectDetail/VCS/1936,Multiple Proponents,"['acm0002', 'ams-i-d']",,verra,0.0,unknown,,,,,,carbonplan_offsetsdb
renewable-energy,Colombia,2024-10-31 00:00:00+00:00,2024-10-31 00:00:00+00:00,False,44.0,,Santa Ana Hydroelectric Plant - CER Conversion,VCS1909,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1909,Credits transferred from approved GHG program,['ams-i-d'],,verra,44.0,unknown,2015.0,2015.0,2.0,2015.0,2015.0,carbonplan_offsetsdb
ghg-management,Colombia,2024-10-31 00:00:00+00:00,2024-10-31 00:00:00+00:00,False,466.0,,"Bionersis landfill project in Pasto, Colombia",VCS1910,Landfill,berkeley,https://registry.verra.org/app/projectDetail/VCS/1910,Credits transferred from approved GHG program,['acm0001'],,verra,466.0,unknown,2011.0,2011.0,2.0,2011.0,2011.0,carbonplan_offsetsdb
renewable-energy,Colombia,2010-09-16 00:00:00+00:00,2010-09-16 00:00:00+00:00,False,3689.0,,La Cascada 2.3 MW Hydroelectric Project,VCS386,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/386,Prestadora de Servicios Públicos La Cascada SA ESP,['acm0002'],,verra,3689.0,unknown,2007.0,2018.0,8.0,2007.0,2018.0,carbonplan_offsetsdb
renewable-energy,Colombia,,,False,0.0,,SOLAR GROUPED PROJECT BY EPSA-CELSIA,VCS1892,Centralized Solar,berkeley,https://registry.verra.org/app/projectDetail/VCS/1892,Multiple Proponents,"['acm0002', 'ams-i-d']",,verra,0.0,unknown,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",VCS1869,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/1869,Société de gestion de projets ECOTIERRA Inc.,['ar-acm0003'],,verra,0.0,unknown,,,,,,carbonplan_offsetsdb
renewable-energy,Colombia,,,False,0.0,,GUACHICONO SMALL HYDROELECTRIC PROJECT,VCS1868,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1868,GELEC GUACHICONO S.A.S .E.S.P,['ams-i-d'],,verra,0.0,unknown,,,,,,carbonplan_offsetsdb
renewable-energy,Colombia,2020-10-07 00:00:00+00:00,2020-10-07 00:00:00+00:00,False,494445.0,,Hydroelectric Project PCH Luzma,VCS1364,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1364,ISAGEN S.A. E.S.P,['acm0002'],,verra,209261.0,registered,2017.0,2024.0,24.0,2017.0,2024.0,carbonplan_offsetsdb
renewable-energy,Colombia,2018-12-24 00:00:00+00:00,2018-12-24 00:00:00+00:00,False,77183.0,,Guanaquitas 9.74 MW Hydroelectric Project,VCS1836,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1836,Guanaquitas S.A.S .ES.P.,['ams-i-d'],,verra,77183.0,unknown,2010.0,2013.0,77.0,2010.0,2013.0,carbonplan_offsetsdb
renewable-energy,Colombia,2018-12-24 00:00:00+00:00,2018-12-24 00:00:00+00:00,False,23636.0,,Caruquia 9.76 MW Hydroelectric Project,VCS1835,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1835,Caruquia S.A.S .ES.P.,['ams-i-d'],,verra,23636.0,unknown,2010.0,2011.0,4.0,2010.0,2011.0,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',VCS1821,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1821,Ciprogress Greenlife,['vm0007'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,2026-03-02 00:00:00+00:00,2026-04-07 00:00:00+00:00,False,255609.0,,Riscales REDD+ Project,VCS1806,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1806,Consejo Comunitario General Los Riscales.,['vm0007'],,verra,9909.0,registered,2014.0,2020.0,8.0,2014.0,2020.0,carbonplan_offsetsdb
renewable-energy,Colombia,,,False,0.0,,Hydroelectric projects at Oibita River,VCS1798,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1798,PCH San Bartolomé S.A.S .ES.P.,['acm0002'],,verra,0.0,registered,,,,,,carbonplan_offsetsdb
renewable-energy,Colombia,,,False,0.0,,Santa Rosa - Altamira hydroelectric projects,VCS1796,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1796,Desarrollo de Energías Renovables S.A.S .ES.P.,['acm0002'],,verra,0.0,unknown,,,,,,carbonplan_offsetsdb
renewable-energy,Colombia,2022-03-16 00:00:00+00:00,2022-04-14 00:00:00+00:00,False,455910.0,,El Molino-San Matias hydroelectric projects,VCS1797,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1797,Multiple Proponents,['acm0002'],,verra,190772.0,unknown,2017.0,2021.0,18.0,2017.0,2021.0,carbonplan_offsetsdb
forest,Colombia,2021-09-29 00:00:00+00:00,2021-09-29 00:00:00+00:00,False,12891.0,,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",VCS1769,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/1769,Multiple Proponents,"['ar-acm0003', 'vm0005']",,verra,10894.0,unknown,2015.0,2019.0,13.0,2015.0,2019.0,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,VCS1765,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1765,Corporación Autónoma Regional del Río Grande de la Magdalena (CORMAGDALENA),['vm0015'],,verra,0.0,unknown,,,,,,carbonplan_offsetsdb
renewable-energy,Colombia,2021-12-01 00:00:00+00:00,2021-12-23 00:00:00+00:00,False,437200.0,,Escuela de Minas Hydroelectric Project,VCS1723,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1723,HIDROELECTRICA DEL ALTO PORCE S.A.S E.S.P,['acm0002'],,verra,124661.0,registered,2019.0,2024.0,90.0,2019.0,2024.0,carbonplan_offsetsdb
forest,Colombia,2023-08-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,False,5276.0,,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,VCS1695,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1695,Local Environmental Authority of Chivor (CORPOCHIVOR– Corporación Autónoma Regional de Chivor),['vm0015'],,verra,262.0,registered,2015.0,2016.0,4.0,2015.0,2016.0,carbonplan_offsetsdb
forest,Colombia,2023-11-07 00:00:00+00:00,,False,40623.0,,Regenerating Colombian Coffee Ecosystems,VCS1682,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/1682,The PURE PROJECT SAS,['ar-ams0007'],,verra,0.0,registered,2015.0,2021.0,7.0,2015.0,2021.0,carbonplan_offsetsdb
renewable-energy,Colombia,,,False,0.0,,San Andres Hydroelectric project,VCS1173,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1173,Celsia Colombia S.A. E.S.P.,['acm0002'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",VCS1657,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1657,Fundación Natura,['vm0015'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,2013-01-30 00:00:00+00:00,2013-02-04 00:00:00+00:00,False,435287.0,,The Chocó-Darién Conservation Corridor REDD Project,VCS856,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/856,Anthrotect S.A.S.,['vm0009'],,verra,433623.0,unknown,2012.0,2017.0,2966.0,2012.0,2017.0,carbonplan_offsetsdb
forest,Colombia,2019-10-24 00:00:00+00:00,2019-10-31 00:00:00+00:00,False,2150996.0,,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,VCS1395,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1395,Multiple Proponents,['vm0006'],,verra,1542122.0,registered,2013.0,2019.0,228.0,2013.0,2019.0,carbonplan_offsetsdb
forest,Colombia,2011-08-16 00:00:00+00:00,2011-08-26 00:00:00+00:00,False,406850.0,,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",VCS576,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/576,Asorpar Ltd.,"['ar-acm0003', 'ar-am0005']",,verra,401001.0,registered,2002.0,2021.0,241.0,2002.0,2021.0,carbonplan_offsetsdb
forest,Colombia,2017-10-09 00:00:00+00:00,2017-10-09 00:00:00+00:00,False,27094417.0,,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),VCS1566,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1566,Multiple Proponents,['vm0007'],,verra,20400910.0,unknown,2013.0,2019.0,1395.0,2013.0,2019.0,carbonplan_offsetsdb
forest,Colombia,2019-10-25 00:00:00+00:00,2019-11-08 00:00:00+00:00,False,681565.0,,Carmen del Darién (CDD) REDD+ Project,VCS1390,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/1390,Multiple Proponents,['vm0006'],,verra,499668.0,registered,2014.0,2017.0,111.0,2014.0,2017.0,carbonplan_offsetsdb
