COD_DANE,NOMBRE_MPI,DPTO_CNMBR,area_municipio_ha,bosque_base_ha,area_redd_ha,n_proyectos,anio_primer_proyecto,area_proyecto_max_ha,tratado,dosis_area_cruda,dosis_bosque_cruda,desborda_area,desborda_bosque,dosis_area,dosis_bosque,umbral_dosel,truncada,fecha_generacion
05490,NECOCLÍ,ANTIOQUIA,125586.53233061376,89246.83677310686,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05495,NECHÍ,ANTIOQUIA,93658.44841772744,65519.67822711144,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05501,OLAYA,ANTIOQUIA,8697.390452660591,7007.511452770876,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05541,PEÑOL,ANTIOQUIA,11825.51972141549,7363.542739113702,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05543,PEQUE,ANTIOQUIA,43403.88332609181,34734.31951722252,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05576,PUEBLORRICO,ANTIOQUIA,7542.674735850142,6403.758091194991,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05579,PUERTO BERRÍO,ANTIOQUIA,121894.48144812848,79396.02895106917,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05585,PUERTO NARE,ANTIOQUIA,57906.60944034167,36537.33923436624,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05591,PUERTO TRIUNFO,ANTIOQUIA,36927.14944990081,17934.39391125652,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05604,REMEDIOS,ANTIOQUIA,196499.8306977756,171467.4904293077,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05607,RETIRO,ANTIOQUIA,24192.37520143385,20083.56401933043,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05615,RIONEGRO,ANTIOQUIA,19586.687913189,9390.736435684972,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05628,SABANALARGA,ANTIOQUIA,26572.70116109951,21899.838318866176,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05631,SABANETA,ANTIOQUIA,1566.1936856801792,1085.9871876476047,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05642,SALGAR,ANTIOQUIA,28823.40932464729,24299.377667461384,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,20682.01900590929,19002.365283463223,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05649,SAN CARLOS,ANTIOQUIA,71641.25993840373,67272.36327467431,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05652,SAN FRANCISCO,ANTIOQUIA,35420.160127314586,35203.39074989458,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05656,SAN JERÓNIMO,ANTIOQUIA,15213.95845692307,13502.131525219153,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,12604.75572598457,10201.442898351164,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05659,SAN JUAN DE URABÁ,ANTIOQUIA,25211.85658777152,16486.967167127637,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
