clave,fuente,nombre_proyecto,COD_DANE,NOMBRE_MPI,clasificacion_sugerida,motivo_sugerencia,clasificacion_final,justificacion,clase_redd_sugerida,motivo_redd,clase_redd_final,justificacion_redd,sector__actividades,sector__afolu_activities,sector__clase_metodologia,sector__es_wrc,sector__estado_registro,sector__methodology,sector__programme_of_activities,sector__projectType,sector__sectoralScope,sector__status_registro,sector__tipo
renare|proyecto forestal mavalle en plantaciones de caucho natural,renare,Proyecto Forestal MAVALLE en plantaciones de Caucho natural,,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,,,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b22a002cb375c800b83acc/documentossolicitud/05documentodescripcionactividadmitigacion28-12-2020-19-37-54.pdf', 'fecha_final_1': '31/10/2039', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/10/2009', 'descripcion_actividad_1': 'Establecer 8735,96 hectáreas con la especie Hevea brasiliensis, en áreas de pastos dedicadas a la ganadería en los municipios de Puerto López y Puerto Gaitán (Departamento del Meta)', 'id_actividad': 1942, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '18/01/2022 09:58:47', 'tipo_actividad': 500, 'nombre_tipo_actividad': 'Plantaciones comerciales'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
"renare|cavadacav¿ coreiv¿ joc¿ b¿c¿ro r¿, n¿¿j¿ n¿ec¿va aiye baquepe",renare,"Cavadacav¿ Coreiv¿ Joc¿ B¿c¿ro R¿, N¿¿j¿ N¿ec¿vã Aiye Baquepe",,,AFOLU,tipo: Proyecto REDD+,AFOLU,,REDD,tipo: Proyecto REDD+,REDD,,"[{'acciones_redd_mas_1': 'Protección de los Bosques y Conservación Ambiental, Gobernanza Forestal y Autonomía Indígena, Buen Vivir y producción sostenible, Protección de los conocimientos ancestrales y medicina indígena y Mujeres y familia indígena\n', 'tasa_cambio_1': '', 'tipo_actividad_1': 706, 'contribucion_propia_1': '', 'costo_total_1': '', 'sector_cartera': '[{""sector_cartera_2"": {""value"":418}}]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '{""value"":""BA (Ton CO2/ha)""}', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229e92cb375c800b83ab9/documentossolicitud/05documentodescripcionactividadmitigacion28-06-2024-10-08-57.pdf', 'fecha_final_1': '31/12/2047', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2018', 'descripcion_actividad_1': 'Protección de los Bosques y Conservación Ambiental, Gobernanza Forestal y Autonomía Indígena, Buen Vivir y producción sostenible, Protección de los conocimientos ancestrales y medicina indígena y Mujeres y familia indígena\n', 'id_actividad': 3728, 'tipo_moneda_1': None, 'contribucion_externa_1': '', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 131}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '28/06/2024 10:09:47', 'tipo_actividad': 706, 'nombre_tipo_actividad': 'Reducción de las emisiones debidas a la deforestación'}, {'acciones_redd_mas_1': 'Protección de los Bosques y Conservación Ambiental, Gobernanza Forestal y Autonomía Indígena, Buen Vivir y producción sostenible, Protección de los conocimientos ancestrales y medicina indígena y Mujeres y familia indígena\n', 'tasa_cambio_1': '', 'tipo_actividad_1': 706, 'contribucion_propia_1': '', 'costo_total_1': '', 'sector_cartera': '[{""sector_cartera_2"": {""value"":418}}]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '{""value"":""COS20años (Ton CO2/ha)""}', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229e92cb375c800b83ab9/documentossolicitud/05documentodescripcionactividadmitigacion28-06-2024-10-10-37.pdf', 'fecha_final_1': '31/12/2047', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2018', 'descripcion_actividad_1': 'Protección de los Bosques y Conservación Ambiental, Gobernanza Forestal y Autonomía Indígena, Buen Vivir y producción sostenible, Protección de los conocimientos ancestrales y medicina indígena y Mujeres y familia indígena\n', 'id_actividad': 3730, 'tipo_moneda_1': None, 'contribucion_externa_1': '', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 170}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '28/06/2024 10:09:47', 'tipo_actividad': 706, 'nombre_tipo_actividad': 'Reducción de las emisiones debidas a la deforestación'}, {'acciones_redd_mas_1': 'Protección de los Bosques y Conservación Ambiental, Gobernanza Forestal y Autonomía Indígena, Buen Vivir y producción sostenible, Protección de los conocimientos ancestrales y medicina indígena y Mujeres y familia indígena\n', 'tasa_cambio_1': '', 'tipo_actividad_1': 706, 'contribucion_propia_1': '', 'costo_total_1': '', 'sector_cartera': '[{""sector_cartera_2"": {""value"":418}}]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '{""value"":""BS (Ton CO2/ha)""}', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229e92cb375c800b83ab9/documentossolicitud/05documentodescripcionactividadmitigacion28-06-2024-10-09-50.pdf', 'fecha_final_1': '31/12/2047', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2018', 'descripcion_actividad_1': 'Protección de los Bosques y Conservación Ambiental, Gobernanza Forestal y Autonomía Indígena, Buen Vivir y producción sostenible, Protección de los conocimientos ancestrales y medicina indígena y Mujeres y familia indígena\n', 'id_actividad': 3729, 'tipo_moneda_1': None, 'contribucion_externa_1': '', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 167}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '28/06/2024 10:09:47', 'tipo_actividad': 706, 'nombre_tipo_actividad': 'Reducción de las emisiones debidas a la deforestación'}]",,,,,,,,,,Proyecto REDD+
renare|proyecto de conservacion naya redd+,renare,Proyecto de Conservación NAYA REDD+,,,AFOLU,tipo: Proyecto REDD+,AFOLU,,REDD,tipo: Proyecto REDD+,REDD,,"[{'acciones_redd_mas_1': 'Fortalecimiento de la gobernanza territorial, reforestación participativa, aprovechamiento sostenible de PFNM para uso medicinal, artesanal y cultural, mejoramiento de vivienda y programa de monitoreo y control de la degradación forestal', 'tasa_cambio_1': '', 'tipo_actividad_1': 47, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229e22cb375c800b83aaf/documentossolicitud/05documentodescripcionactividadmitigacion25-05-2021-10-46-54.pdf', 'fecha_final_1': '31/12/2036', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2016', 'descripcion_actividad_1': 'Fortalecimiento de la gobernanza territorial, reforestación participativa, aprovechamiento sostenible de PFNM para uso medicinal, artesanal y cultural, mejoramiento de vivienda y programa de monitoreo y control de la degradación forestal', 'id_actividad': 2342, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 167}}, {""depositos_carbono_1_1"": {""value"": 131}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '09/12/2021 20:32:36', 'tipo_actividad': 47, 'nombre_tipo_actividad': 'Reducción de las emisiones debidas a la degradación forestal'}, {'acciones_redd_mas_1': 'Fortalecimiento de la gobernanza territorial, reforestación participativa, procesos productivos sostenibles con productos como café, yuca brava y dulce, ají, caña dulce, maíz, plátano, agroforestales no convencionales y programa de monitoreo y control de la deforestación', 'tasa_cambio_1': '', 'tipo_actividad_1': 46, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229e22cb375c800b83aaf/documentossolicitud/05documentodescripcionactividadmitigacion25-05-2021-10-33-45.pdf', 'fecha_final_1': '31/12/2036', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2016', 'descripcion_actividad_1': 'Prevenir la deforestación directa o inducida de la cobertura de bosque a otro tipo de cobertura de la tierra para el periodo de duración del proyecto dentro de las áreas elegibles del mismo, por medio de acciones que transformen el comportamiento de actores y motores de deforestación', 'id_actividad': 2341, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 167}}, {""depositos_carbono_1_1"": {""value"": 131}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '09/12/2021 20:32:08', 'tipo_actividad': 46, 'nombre_tipo_actividad': 'Reducción de las emisiones debidas a la deforestación'}]",,,,,,,,,,Proyecto REDD+
renare|infraestructuras ecosistemicas redd+ para los campesinos de antioquia colombia,renare,Infraestructuras Ecosistémicas REDD+ para los campesinos de Antioquia Colombia,,,AFOLU,tipo: Proyecto REDD+,AFOLU,,REDD,tipo: Proyecto REDD+,REDD,,"[{'acciones_redd_mas_1': 'Capacitaciones en REDD y servicios ecosistémicos, monitoreo de conservación del bosque, acuerdos de conservación, proyectos productivos comunitarios, fortalecimiento de gobernanza, armonización con planes territoriales, diseño de un corredor ecológico y fomento de actividades productivas.', 'tasa_cambio_1': '', 'tipo_actividad_1': 706, 'contribucion_propia_1': '', 'costo_total_1': '', 'sector_cartera': '[{""sector_cartera_2"": {""value"":411}}]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '{""value"":""CO2""}', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229dd2cb375c800b83aab/documentossolicitud/05documentodescripcionactividadmitigacion28-02-2025-10-51-06.pdf', 'fecha_final_1': '31/12/2058', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2019', 'descripcion_actividad_1': 'Reducir 577.358 tCO2e por eliminación o quema de biomasa en 13.873 ha de predios privados. Se incluyen biomasa aérea, subterránea y carbono orgánico del suelo, comparando el escenario de línea base con el del proyecto.', 'id_actividad': 4521, 'tipo_moneda_1': None, 'contribucion_externa_1': '', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 131}}, {""depositos_carbono_1_1"": {""value"": 167}}, {""depositos_carbono_1_1"": {""value"": 170}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '12/03/2025 12:03:07', 'tipo_actividad': 706, 'nombre_tipo_actividad': 'Reducción de las emisiones debidas a la deforestación'}]",,,,,,,,,,Proyecto REDD+
renare|makaro ap+ro,renare,Makaro Ap+ro,,,AFOLU,tipo: Proyecto REDD+,AFOLU,,REDD,tipo: Proyecto REDD+,REDD,,"[{'acciones_redd_mas_1': 'Las acciones se establecen en el plan estratégico del proyecto.', 'tasa_cambio_1': '', 'tipo_actividad_1': 706, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': '[{""sector_cartera_2"": {""value"":418}}]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '{""value"":""BA (Ton CO2/ha)""}', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229cc2cb375c800b83a99/documentossolicitud/05documentodescripcionactividadmitigacion24-11-2021-16-40-34.pdf', 'fecha_final_1': '31/12/2047', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2018', 'descripcion_actividad_1': 'Actividades encaminadas disminuir las emisiones de GEI consecuentes de la deforestación de los bosques naturales que se encuentran en el área del proyecto.', 'id_actividad': 2961, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 131}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '17/06/2024 16:26:53', 'tipo_actividad': 706, 'nombre_tipo_actividad': 'Reducción de las emisiones debidas a la deforestación'}]",,,,,,,,,,Proyecto REDD+
renare|proyecto hidroelectrico barroso 20mw,renare,Proyecto hidroeléctrico Barroso 20MW ,,,REVISAR,tipo: PDBC - Proyectos de Desarrollo Bajo en Carbono (no concluyente),,,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,[],,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|veolia lfg pta antanas landfill,renare,Veolia LFG PTA Antanas landfill,,,REVISAR,tipo=PDBC - Programas de Desarrollo pero actividades sugiere AFOLU,,,NO_REDD,tipo: PDBC - Programas de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 50500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229b92cb375c800b83a81/documentossolicitud/05documentodescripcionactividadmitigacion05-08-2022-17-59-48.pdf', 'fecha_final_1': '27/01/2040', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '28/01/2020', 'descripcion_actividad_1': 'La actividad del proyecto ¿Proyecto Veolia LFG en el relleno sanitario de PTA Antanas¿ abarca la construcción y operación de una infraestructura de recolección y destrucción de gas de relleno sanitario en el relleno sanitario de PTA Antanas con LFG destruido por combustión a alta temperatura.', 'id_actividad': 3421, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '17/08/2022 14:28:37', 'tipo_actividad': 50500, 'nombre_tipo_actividad': 'Mejora de procesos en eliminación de residuos sólidos'}]",,,,,,,,,,PDBC - Programas de Desarrollo Bajo en Carbono
renare|co2bio proyecto 2- 2,renare,CO2Bio Proyecto 2- 2 ,,,AFOLU,tipo: Proyecto REDD+,AFOLU,,REDD,tipo: Proyecto REDD+,REDD,,"[{'acciones_redd_mas_1': 'Fortalecer los conocimientos para la gestión sostenible de los ecosistemas y conservación de la biodiversidad por medio de capacitaciones virtuales y/o presenciales\nPromover la gobernanza forestal en el área del proyecto\nPromover la gestión forestal sostenible\nImpulsar la delimitación y/o señalización de las áreas en conservación\nPromover y mejorar la producción agrícola, pecuaria (en tierras existentes) y turismo, mediante la implementación de buenas prácticas sostenibles\nGenerar alertas de cam', 'tasa_cambio_1': '', 'tipo_actividad_1': 704, 'contribucion_propia_1': '', 'costo_total_1': '', 'sector_cartera': '[{""sector_cartera_2"": {""value"":418}}]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '{""value"":""Deforestación  de Bosques ""}', 'archivo_soporte_2_2': None, 'fecha_final_1': '14/01/2038', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '15/01/2018', 'descripcion_actividad_1': 'Reducción de emisiones de GEI por deforestación evitada ', 'id_actividad': 3456, 'tipo_moneda_1': None, 'contribucion_externa_1': '', 'depositos_carbono_1': '[{""depositos_carbono_1_1"": {""value"": 131}}, {""depositos_carbono_1_1"": {""value"": 167}}, {""depositos_carbono_1_1"": {""value"": 170}}]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '29/05/2024 16:31:57', 'tipo_actividad': 704, 'nombre_tipo_actividad': 'Conservación de las reservas forestales de carbono'}]",,,,,,,,,,Proyecto REDD+
renare|sombrilla centrales hidroelectricas de suba y usaquen,renare,Sombrilla Centrales Hidroeléctricas de Suba y Usaquén,,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,,,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 308, 'contribucion_propia_1': '$ 28.000.000.000', 'costo_total_1': '$ 28.000.000.000', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229a42cb375c800b83a71/documentossolicitud/05documentodescripcionactividadmitigacion04-12-2020-15-59-58.pdf', 'fecha_final_1': '14/04/2023', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '15/04/2013', 'descripcion_actividad_1': 'PCH SUBA: turbina de 2,64 MW, caudal medio de 5,64 m3/s y caída neta de 52,18 m. PCH USAQUEN: turbina de 1,81 MW, caudal medio de 2,85 m3/s y caída neta de 71,5 m.', 'id_actividad': 1781, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '08/12/2021 17:01:51', 'tipo_actividad': 308, 'nombre_tipo_actividad': 'Generación de electricidad renovable - no convencional'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|pequena central hidroelectrica bajo tulua,renare,Pequeña Central hidroeléctrica Bajo Tuluá,,,REVISAR,tipo=MDL - Proyectos del Mecanismo  pero actividades sugiere AFOLU,,,NO_REDD,tipo: MDL - Proyectos del Mecanismo de Desarro (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 564, 'contribucion_propia_1': '$ 156.000.000.000', 'costo_total_1': '$ 156.000.000.000', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b2299e2cb375c800b83a6d/documentossolicitud/05documentodescripcionactividadmitigacion24-11-2020-14-07-17.pdf', 'fecha_final_1': '28/11/2018', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '29/11/2011', 'descripcion_actividad_1': 'Generación de energía a filo de agua', 'id_actividad': 1690, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '16/02/2022 15:36:52', 'tipo_actividad': 564, 'nombre_tipo_actividad': 'Gestión adecuada de equipos que contienen SF6 y PFC al final de su vida útil - Aceleradores'}]",,,,,,,,,,MDL - Proyectos del Mecanismo de Desarrollo Limpio
renare|proyecto hidroelectrico sogamoso,renare,Proyecto Hidroeléctrico Sogamoso,,,REVISAR,tipo=MDL - Proyectos del Mecanismo  pero actividades sugiere AFOLU,NO_AFOLU,Hidroelectrica,NO_REDD,tipo: MDL - Proyectos del Mecanismo de Desarro (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 564, 'contribucion_propia_1': '$ 290.413.700.000', 'costo_total_1': '$ 290.413.700.000', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229942cb375c800b83a62/documentossolicitud/05documentodescripcionactividadmitigacion16-02-2021-13-57-36.pdf', 'fecha_final_1': '14/06/2023', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '15/06/2016', 'descripcion_actividad_1': 'Generar energía renovable a partir de la operación de una central hidroeléctrica', 'id_actividad': 2081, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '11/10/2021 13:26:08', 'tipo_actividad': 564, 'nombre_tipo_actividad': 'Gestión adecuada de equipos que contienen SF6 y PFC al final de su vida útil - Aceleradores'}]",,,,,,,,,,MDL - Proyectos del Mecanismo de Desarrollo Limpio
"renare|proyecto de mitigacion en el sector del uscuss por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en el municipio de barrancabermeja, santander, colombia",renare,"Proyecto de mitigación en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia",,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,AFOLU,USCUSS: establecimiento de sistemas forestales,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 1.000.000.000', 'costo_total_1': '$ 1.000.000.000', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229872cb375c800b83a54/documentossolicitud/05documentodescripcionactividadmitigacion04-11-2020-18-59-54.pdf', 'fecha_final_1': '12/12/2042', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '05/01/2013', 'descripcion_actividad_1': 'Realizar la remoción de CO2 a través de la implementación de un sistema forestal de Hevea brasiliensis, en el municipio de Barrancabermeja con un horizonte de 30 años', 'id_actividad': 1472, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '15/07/2022 10:38:53', 'tipo_actividad': 500, 'nombre_tipo_actividad': 'Plantaciones comerciales'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|carbono agroforestal la argentina,renare,Carbono Agroforestal La Argentina,,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,AFOLU,Sistema agroforestal,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229782cb375c800b83a48/documentossolicitud/05documentodescripcionactividadmitigacion04-11-2020-08-28-49.pdf', 'fecha_final_1': '14/11/2030', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '15/11/2011', 'descripcion_actividad_1': 'Realizar la captura de carbono a través de la plantación de especies maderables.', 'id_actividad': 1461, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '28/07/2022 17:36:52', 'tipo_actividad': 500, 'nombre_tipo_actividad': 'Plantaciones comerciales'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|pequena central hidroelectrica alto tulua,renare,Pequeña Central Hidroeléctrica Alto Tuluá,,,REVISAR,tipo=MDL - Proyectos del Mecanismo  pero actividades sugiere AFOLU,,,NO_REDD,tipo: MDL - Proyectos del Mecanismo de Desarro (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 564, 'contribucion_propia_1': '$ 165.000.000.000', 'costo_total_1': '$ 165.000.000.000', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229622cb375c800b83a35/documentossolicitud/05documentodescripcionactividadmitigacion18-11-2020-15-59-39.pdf', 'fecha_final_1': '31/12/2018', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '01/01/2012', 'descripcion_actividad_1': 'Generación de energía a filo de agua', 'id_actividad': 1622, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '07/12/2021 12:10:33', 'tipo_actividad': 564, 'nombre_tipo_actividad': 'Gestión adecuada de equipos que contienen SF6 y PFC al final de su vida útil - Aceleradores'}]",,,,,,,,,,MDL - Proyectos del Mecanismo de Desarrollo Limpio
"renare|proyecto de mitigacion en el sector del uscuss por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en los municipios de sucre y el penon santander, colombia",renare,"Proyecto de mitigación en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Peñón Santander, Colombia",,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,AFOLU,USCUSS: establecimiento de sistemas forestales,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 351.460.000', 'costo_total_1': '$ 1.500.000.000', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b229532cb375c800b83a29/documentossolicitud/05documentodescripcionactividadmitigacion20-08-2021-09-38-16.pdf', 'fecha_final_1': '12/12/2040', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '02/01/2011', 'descripcion_actividad_1': 'Realizar la remoción de CO2 a través de la implementación de un sistema forestal de Hevea brasiliensis, en los municipios de El Peñon y Sucre con un horizonte de 30 años', 'id_actividad': 2661, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 1.148.540.000', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '15/07/2022 10:38:13', 'tipo_actividad': 500, 'nombre_tipo_actividad': 'Plantaciones comerciales'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|carbono inmunizar,renare,Carbono Inmunizar,,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,,,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 0', 'costo_total_1': '$ 0', 'sector_cartera': '[]', 'fecha_tasa_cambio_1': None, 'fuente_relacionada_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1018420586/68b2294d2cb375c800b83a25/documentossolicitud/05documentodescripcionactividadmitigacion30-10-2020-08-58-45.pdf', 'fecha_final_1': '14/05/2030', 'archivo_soporte_2_3': None, 'fecha_inicial_1': '15/05/2011', 'descripcion_actividad_1': 'Realizar la captura de carbono a través de la plantación de especies maderables.', 'id_actividad': 1426, 'tipo_moneda_1': None, 'contribucion_externa_1': '$ 0', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '29/11/2021 13:17:46', 'tipo_actividad': 500, 'nombre_tipo_actividad': 'Plantaciones comerciales'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
