COD_DANE,NOMBRE_MPI,DPTO_CNMBR,loss_pixels,loss_area_ha
47745,SITIONUEVO,MAGDALENA,156,14.04
47798,TENERIFE,MAGDALENA,60,5.4
47960,ZAPAYÁN,MAGDALENA,5638,507.41999999999996
47980,ZONA BANANERA,MAGDALENA,9110,819.9
50001,VILLAVICENCIO,META,4249,382.40999999999997
50006,ACACÍAS,META,1573,141.57
50110,BARRANCA DE UPÍA,META,22,1.98
50124,CABUYARO,META,831,74.78999999999999
50150,CASTILLA LA NUEVA,META,1779,160.10999999999999
50223,CUBARRAL,META,41,3.69
50226,CUMARAL,META,74,6.66
50245,EL CALVARIO,META,60,5.4
50251,EL CASTILLO,META,121,10.89
50270,EL DORADO,META,41,3.69
50287,FUENTE DE ORO,META,8,0.72
50313,GRANADA,META,7,0.63
50318,GUAMAL,META,1159,104.30999999999999
50325,MAPIRIPÁN,META,1334,120.06
50330,MESETAS,META,40,3.6
50350,LA MACARENA,META,5373,483.57
50370,URIBE,META,948,85.32
50400,LEJANÍAS,META,414,37.26
52001,PASTO,NARIÑO,2209,198.81
52019,ALBÁN,NARIÑO,2399,215.91
52022,ALDANA,NARIÑO,9760,878.4
52036,ANCUYA,NARIÑO,6265,563.85
