COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,77411.00403736763,73890.88139246195,62285.738765868686,
13248,EL GUAMO,BOLÍVAR,17618.909654059727,15499.512231903384,10520.72553002748,
13268,EL PEÑÓN,BOLÍVAR,22807.379305562008,19475.52502737265,12962.576869396427,
13300,HATILLO DE LOBA,BOLÍVAR,8030.680090322228,5810.255926307765,2754.8757440541344,
13430,MAGANGUÉ,BOLÍVAR,32409.584909973844,26619.899795997942,15710.183024582351,
13433,MAHATES,BOLÍVAR,12170.329185349749,9995.935623581494,6757.4305100708125,
13440,MARGARITA,BOLÍVAR,13463.8367118918,9788.992004774102,4812.7820362442735,
13442,MARÍA LA BAJA,BOLÍVAR,26493.748212760504,23110.725795771767,17533.447879533585,
13458,MONTECRISTO,BOLÍVAR,204286.0930532577,203158.4904630905,200209.76485240963,
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,24733.26767861293,19372.9803507086,8713.143708081669,
13473,MORALES,BOLÍVAR,84409.38189514399,75911.26780439696,57925.85971268488,
13490,NOROSÍ,BOLÍVAR,39239.458692325374,38395.29603385898,36323.89622318533,
13549,PINILLOS,BOLÍVAR,36871.57285107723,27740.270839959387,12244.351291327905,
13580,REGIDOR,BOLÍVAR,11295.708372712306,9847.363957648928,7273.257495505204,
13600,RÍO VIEJO,BOLÍVAR,69762.10608860156,65223.88516741007,54837.28603590278,
13620,SAN CRISTÓBAL,BOLÍVAR,345.4452750559851,243.58520961368328,140.63025419873986,
13647,SAN ESTANISLAO,BOLÍVAR,5225.295034178897,4480.205535686767,2767.1063370132897,
13650,SAN FERNANDO,BOLÍVAR,18253.21614651188,14025.112879671648,6119.332352157991,
13654,SAN JACINTO,BOLÍVAR,36961.11988155295,35298.27813439126,29975.38761553795,
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,42059.50533782219,37323.29665336957,28708.44684515257,
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,47233.419735193726,44385.1223523762,36793.5224513843,
13667,SAN MARTÍN DE LOBA,BOLÍVAR,34153.969000759935,31516.528932451907,26153.834613191146,
13670,SAN PABLO,BOLÍVAR,179635.2329446878,175008.76538088336,165104.19709799095,
13673,SANTA CATALINA,BOLÍVAR,6841.100633920461,5895.148619330187,4165.503786974958,
13683,SANTA ROSA,BOLÍVAR,5264.763962736668,4354.1506809247085,2715.8189674363166,
13688,SANTA ROSA DEL SUR,BOLÍVAR,214085.62753468327,208148.8621753057,196675.3161259584,
13744,SIMITÍ,BOLÍVAR,96308.95765260996,88485.56570383582,71222.54003682006,
13760,SOPLAVIENTO,BOLÍVAR,700.8920641691319,495.55155588218486,348.4489960749366,
13780,TALAIGUA NUEVO,BOLÍVAR,4092.510427588122,2912.769986913692,1202.780808126986,
13810,TIQUISIO,BOLÍVAR,69705.91517785948,66284.99541533263,57504.84079203322,
13836,TURBACO,BOLÍVAR,7096.985017335926,5782.212055371172,3353.24089858121,
13838,TURBANA,BOLÍVAR,4637.01883375768,3793.5086034072415,2285.7627880115447,
13873,VILLANUEVA,BOLÍVAR,7962.979041659074,7046.932297088371,4451.105720176468,
13894,ZAMBRANO,BOLÍVAR,19648.783364061022,18190.158741032585,13759.18160958934,
15001,TUNJA,BOYACÁ,659.7262421666271,504.9246983509726,282.1237046002317,
15022,ALMEIDA,BOYACÁ,3480.5098032330243,2617.154552533488,1545.2004847703429,
15047,AQUITANIA,BOYACÁ,47239.16768761221,38089.495040383656,27621.122216710268,
15051,ARCABUCO,BOYACÁ,7449.700133472423,6544.332026893735,4971.770886033714,
15087,BELÉN,BOYACÁ,7515.215367681048,6194.944648654833,4132.655713466698,
15090,BERBEO,BOYACÁ,4211.720773382215,3408.1914445343714,2426.531689647113,
15092,BETÉITIVA,BOYACÁ,4652.518725200984,3551.8881964238867,2183.7215765246383,
15097,BOAVITA,BOYACÁ,7116.091492797971,4822.890851293989,2919.6235768696506,
15104,BOYACÁ,BOYACÁ,509.9375735509532,341.5122514160637,173.96312720633722,
15106,BRICEÑO,BOYACÁ,5392.656413256345,4982.388073204501,4018.162783836688,
15109,BUENAVISTA,BOYACÁ,8156.852673411311,7274.587999335897,5394.174249798379,
15114,BUSBANZÁ,BOYACÁ,956.0179561033432,687.5384674137604,436.9266996528178,
15131,CALDAS,BOYACÁ,2949.792584807821,2410.117816720516,1622.4154612145778,
