COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,px_bosque_tc30,baseline_forest_tc50,baseline_forest_tc75,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
27580,RÍO IRÓ,CHOCÓ,31816.134961292417,354958,31489.609087059293,30394.315641145164,local:Colombia_treecover2000.tif,Colombia_treecover2000,31816.134961292417,32521.65299803334,2026-09-20T09:50:08
27600,RÍO QUITO,CHOCÓ,69053.02726946237,770893,68903.43334321772,68368.47613761609,local:Colombia_treecover2000.tif,Colombia_treecover2000,69053.02726946237,69933.72444541953,2026-09-20T09:50:08
27615,RIOSUCIO,CHOCÓ,598040.8484528967,6700454,595348.8732973022,590144.7176707201,local:Colombia_treecover2000.tif,Colombia_treecover2000,598040.8484528967,613961.5574594612,2026-09-20T09:50:08
27660,SAN JOSÉ DEL PALMAR,CHOCÓ,155844.45798287023,1738114,154610.02364836523,146282.14745418806,local:Colombia_treecover2000.tif,Colombia_treecover2000,155844.45798287023,158252.43659826898,2026-09-20T09:50:08
27745,SIPÍ,CHOCÓ,154561.4441378587,1722887,153773.32483995272,149881.09929210503,local:Colombia_treecover2000.tif,Colombia_treecover2000,154561.4441378587,157745.32618200756,2026-09-20T09:50:08
27787,TADÓ,CHOCÓ,69257.4668316592,772790,68655.40136051603,65992.0068320286,local:Colombia_treecover2000.tif,Colombia_treecover2000,69257.4668316592,71499.3087104068,2026-09-20T09:50:08
27800,UNGUÍA,CHOCÓ,97202.95916649404,1090970,94338.68472317167,88512.53337547048,local:Colombia_treecover2000.tif,Colombia_treecover2000,97202.95916649404,119116.01393062215,2026-09-20T09:50:08
27810,UNIÓN PANAMERICANA,CHOCÓ,17278.108818843135,192799,17076.823326706057,16535.612744485705,local:Colombia_treecover2000.tif,Colombia_treecover2000,17278.108818843135,17783.753325303027,2026-09-20T09:50:08
41001,NEIVA,HUILA,71903.39821114852,800006,58860.879945504785,44490.55922322284,local:Colombia_treecover2000.tif,Colombia_treecover2000,71903.39821114852,126921.78537116146,2026-09-20T09:50:08
41006,ACEVEDO,HUILA,47846.67673544226,531866,45630.22127459715,41264.27007376528,local:Colombia_treecover2000.tif,Colombia_treecover2000,47846.67673544226,52180.77189115181,2026-09-20T09:50:08
41013,AGRADO,HUILA,10784.821598663064,119927,7573.091868408899,4958.324361569885,local:Colombia_treecover2000.tif,Colombia_treecover2000,10784.821598663064,27368.705438124114,2026-09-20T09:50:08
41016,AIPE,HUILA,28338.766783672985,315394,20282.278395748126,11817.701429866147,local:Colombia_treecover2000.tif,Colombia_treecover2000,28338.766783672985,79530.81798836227,2026-09-20T09:50:08
41020,ALGECIRAS,HUILA,50098.122565052174,557173,46498.12045696752,38626.66849776071,local:Colombia_treecover2000.tif,Colombia_treecover2000,50098.122565052174,58942.711259787095,2026-09-20T09:50:08
41026,ALTAMIRA,HUILA,8445.203859814184,93897,5964.456294276417,3643.71315206702,local:Colombia_treecover2000.tif,Colombia_treecover2000,8445.203859814184,18095.237477555864,2026-09-20T09:50:08
41078,BARAYA,HUILA,50922.94120870987,566650,41652.54572625975,31200.980602723102,local:Colombia_treecover2000.tif,Colombia_treecover2000,50922.94120870987,78547.92663390911,2026-09-20T09:50:08
41132,CAMPOALEGRE,HUILA,22594.716456803413,251322,17825.418965697256,13339.135230939411,local:Colombia_treecover2000.tif,Colombia_treecover2000,22594.716456803413,46260.528608569104,2026-09-20T09:50:08
41206,COLOMBIA,HUILA,128566.32160790912,1431102,116623.8504608357,95934.20279284028,local:Colombia_treecover2000.tif,Colombia_treecover2000,128566.32160790912,158362.30539810573,2026-09-20T09:50:08
41244,ELÍAS,HUILA,5712.587065997694,63512,4750.09267415503,3555.4478267485683,local:Colombia_treecover2000.tif,Colombia_treecover2000,5712.587065997694,8044.114384332641,2026-09-20T09:50:08
41298,GARZÓN,HUILA,48120.17020875509,535051,43531.019120642435,35441.09990232135,local:Colombia_treecover2000.tif,Colombia_treecover2000,48120.17020875509,60635.45787636232,2026-09-20T09:50:08
41306,GIGANTE,HUILA,33744.95950388766,375263,28726.57834314411,21967.21900526621,local:Colombia_treecover2000.tif,Colombia_treecover2000,33744.95950388766,50356.427140082524,2026-09-20T09:50:08
41319,GUADALUPE,HUILA,20665.773784140085,229757,18748.056718853033,16001.382736391326,local:Colombia_treecover2000.tif,Colombia_treecover2000,20665.773784140085,24956.35774683477,2026-09-20T09:50:08
