Project ID,Project Name,Project Stage,Project URL,Duration start,Duration end,n_matches,cod_dane,municipio
CDC-248,RUTA ANDINA,Validation,https://www.ecoregistry.io/projects/251,2019-12-15,2049-12-16,0,,
CDC-13,Reforestación de suelos degradados por la ganadería y la agricultura en Antioquia,Finished,https://www.ecoregistry.io/projects/13,,,0,,
CDC-63,“PLANETA AGRADECIDO CON EL RESGUARDO INDÍGENA CMARI”,Retired,https://www.ecoregistry.io/projects/63,,,0,,
CDC-98,JAJÖM CMARI REDD+ ,Retired,https://www.ecoregistry.io/projects/98,,,5,8573;94001;94343;94884;94888,BARRANCOMINAS;INIRIDA;MORICHAL;PUERTO COLOMBIA
CDC-12,Proyecto de Mitigación Forestal Bonanza Verde,Finished,https://www.ecoregistry.io/projects/12,,,0,,
CDC-11,Proyecto Forestal de Mitigación de Cambio Climático en áreas degradadas por ganadería Fincas La Clara y Suebrá,Finished,https://www.ecoregistry.io/projects/11,,,0,,
CDC-54,AZIRPA,Rejected,https://www.ecoregistry.io/projects/54,,,0,,
CDC-87,Ciclo Combinado Termoflores IV,Certified,https://www.ecoregistry.io/projects/87,2017-01-01,2046-12-31,1,8001,BARRANQUILLA
CDC-87,Ciclo Combinado Termoflores IV,Certified,https://www.ecoregistry.io/projects/87,2017-01-01,2046-12-31,1,8001,BARRANQUILLA
CDC-250,Generación de Energía y Reducción de GEI-IACSA,Validation,https://www.ecoregistry.io/projects/247,2025-02-06,2055-02-05,0,,
CDC-250,Generación de Energía y Reducción de GEI-IACSA,Validation,https://www.ecoregistry.io/projects/247,2025-02-06,2055-02-05,0,,
CDC-68,Carvida,Certified,https://www.ecoregistry.io/projects/68,2007-03-01,2027-02-28,2,15131;5129,CALDAS
CDC-68,Carvida,Certified,https://www.ecoregistry.io/projects/68,2007-03-01,2027-02-28,2,15131;5129,CALDAS
CDC-215,Proyecto Palmas del Cesar S.A,Verification,https://www.ecoregistry.io/projects/215,2023-05-09,2053-05-08,0,,
CDC-215,Proyecto Palmas del Cesar S.A,Verification,https://www.ecoregistry.io/projects/215,2023-05-09,2053-05-08,0,,
CDC-151,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,Certified,https://www.ecoregistry.io/projects/151,2018-12-04,2048-12-03,1,20250,EL PASO
CDC-151,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,Certified,https://www.ecoregistry.io/projects/151,2018-12-04,2048-12-03,1,20250,EL PASO
CDC-115,PARQUE EÓLICO WESP 01,Certified,https://www.ecoregistry.io/projects/115,2023-05-31,2048-05-30,0,,
CDC-59,CARBONO RINCCO,Certified,https://www.ecoregistry.io/projects/59,2008-05-01,2035-04-30,0,,
CDC-59,CARBONO RINCCO,Certified,https://www.ecoregistry.io/projects/59,2008-05-01,2035-04-30,0,,
CDC-210,Proyecto de Generación de Energía Solar Fotovoltaica La Loma ,Certified,https://www.ecoregistry.io/projects/210,2023-02-05,2033-02-04,1,20250,EL PASO
CDC-194,PCH NARE,Verification,https://www.ecoregistry.io/projects/194,2027-02-01,2077-01-31,2,5021;5690,ALEJANDRIA;SANTO DOMINGO
CDC-194,PCH NARE,Verification,https://www.ecoregistry.io/projects/194,2027-02-01,2077-01-31,2,5021;5690,ALEJANDRIA;SANTO DOMINGO
