project_id,name,proponent,project_url,registry
VCS1909,Santa Ana Hydroelectric Plant - CER Conversion,Credits transferred from approved GHG program,https://registry.verra.org/app/projectDetail/VCS/1909,verra
VCS1910,"Bionersis landfill project in Pasto, Colombia",Credits transferred from approved GHG program,https://registry.verra.org/app/projectDetail/VCS/1910,verra
VCS386,La Cascada 2.3 MW Hydroelectric Project,Prestadora de Servicios Públicos La Cascada SA ESP,https://registry.verra.org/app/projectDetail/VCS/386,verra
VCS1892,SOLAR GROUPED PROJECT BY EPSA-CELSIA,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1892,verra
VCS1869,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",Société de gestion de projets ECOTIERRA Inc.,https://registry.verra.org/app/projectDetail/VCS/1869,verra
VCS1868,GUACHICONO SMALL HYDROELECTRIC PROJECT,GELEC GUACHICONO S.A.S .E.S.P,https://registry.verra.org/app/projectDetail/VCS/1868,verra
VCS1364,Hydroelectric Project PCH Luzma,ISAGEN S.A. E.S.P,https://registry.verra.org/app/projectDetail/VCS/1364,verra
VCS1836,Guanaquitas 9.74 MW Hydroelectric Project,Guanaquitas S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1836,verra
VCS1835,Caruquia 9.76 MW Hydroelectric Project,Caruquia S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1835,verra
VCS1821,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',Ciprogress Greenlife,https://registry.verra.org/app/projectDetail/VCS/1821,verra
VCS1806,Riscales REDD+ Project,Consejo Comunitario General Los Riscales.,https://registry.verra.org/app/projectDetail/VCS/1806,verra
VCS1798,Hydroelectric projects at Oibita River,PCH San Bartolomé S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1798,verra
VCS1796,Santa Rosa - Altamira hydroelectric projects,Desarrollo de Energías Renovables S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1796,verra
VCS1797,El Molino-San Matias hydroelectric projects,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1797,verra
VCS1769,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1769,verra
